dispnum,ccode,participant_incident_count,participant_threat_count,participant_force_count,participant_max_action,participant_mean_hostlev,sidea,revstate,revtype1,revtype2,use_force_or_war
4461,713,1,0,0,7,3.0,1,1,2,0,0
4461,840,1,1,0,0,1.0,0,0,0,0,0
4462,710,1,1,0,0,1.0,0,1,2,0,0
4462,713,1,0,0,7,3.0,1,1,2,0,0
4463,710,1,0,1,11,3.0,1,0,0,0,0
4463,731,1,1,0,0,1.0,0,0,0,0,0
4464,710,1,1,0,0,1.0,0,0,0,0,1
4464,816,1,0,1,16,4.0,1,1,2,0,1
4465,2,1,0,0,7,3.0,1,1,2,0,0
4465,731,1,1,0,0,1.0,0,0,0,0,0
4466,710,1,0,1,11,3.0,1,0,0,0,0
4466,731,1,1,0,0,1.0,0,0,0,0,0
4467,710,2,1,0,7,2.0,1,0,0,0,0
4467,740,2,1,0,8,2.0,0,0,0,0,0
4468,732,3,2,0,7,1.6666666666666667,0,0,0,0,0
4468,740,3,1,0,7,2.3333333333333335,1,1,1,0,0
4469,710,1,1,0,0,1.0,0,0,0,0,0
4469,713,1,1,0,1,2.0,1,1,2,0,0
4470,713,1,0,0,7,3.0,1,1,2,1,0
4470,740,1,1,0,0,1.0,0,0,0,0,0
4471,344,1,1,0,0,1.0,0,0,0,0,1
4471,850,1,0,1,15,4.0,1,0,0,0,1
4472,710,2,0,0,7,3.0,1,0,0,0,0
4472,740,2,2,0,0,1.0,0,0,0,0,0
4473,731,2,0,1,17,3.5,1,1,2,0,1
4473,732,2,1,1,17,2.5,0,0,0,0,1
4474,710,1,0,1,14,4.0,1,1,1,0,1
4474,760,1,1,0,0,1.0,0,0,0,0,1
4475,365,2,1,0,7,2.0,1,0,0,0,0
4475,740,2,1,0,7,2.0,0,0,0,0,0
4476,732,1,0,0,7,3.0,1,0,0,0,0
4476,740,1,1,0,0,1.0,0,0,0,0,0
4477,365,1,0,1,16,4.0,1,1,2,0,1
4477,740,1,1,0,0,1.0,0,0,0,0,1
4478,710,2,0,0,7,3.0,1,0,0,0,0
4478,713,2,2,0,0,1.0,0,0,0,0,0
4478,740,2,2,0,0,1.0,0,0,0,0,0
4479,731,1,1,0,1,2.0,1,1,2,0,0
4479,732,1,1,0,0,1.0,0,0,0,0,0
4480,365,2,1,0,7,2.0,1,0,0,0,0
4480,740,2,1,0,7,2.0,0,0,0,0,0
4481,731,2,0,0,7,3.0,1,1,2,0,0
4481,732,2,2,0,0,1.0,0,0,0,0,0
4482,713,1,0,0,7,3.0,1,1,2,0,0
4482,740,1,1,0,0,1.0,0,0,0,0,0
4483,2,2,0,0,7,3.0,1,1,2,0,1
4483,731,33,19,5,17,2.0,0,1,2,0,1
4483,732,33,15,5,17,2.272727272727273,1,1,2,0,1
4484,365,1,0,1,16,4.0,1,1,2,0,1
4484,740,1,1,0,0,1.0,0,0,0,0,1
4485,365,1,0,1,16,4.0,1,0,0,0,1
4485,710,1,1,0,0,1.0,0,0,0,0,1
4486,2,2,1,0,7,2.0,0,1,2,0,0
4486,710,2,1,0,7,2.0,1,1,2,0,0
4487,710,1,1,0,0,1.0,0,0,0,0,0
4487,750,1,0,0,8,3.0,1,0,0,0,0
4488,710,2,0,1,15,3.5,1,1,2,0,1
4488,816,2,2,0,0,1.0,0,0,0,0,1
4489,710,1,0,0,7,3.0,1,0,0,0,0
4489,740,1,1,0,0,1.0,0,0,0,0,0
4490,710,1,1,0,0,1.0,0,0,0,0,1
4490,731,1,0,1,16,4.0,1,0,0,0,1
4491,710,61,11,0,7,2.639344262295082,0,1,1,2,1
4491,740,61,50,2,15,1.3934426229508197,1,1,2,0,1
4492,713,1,1,0,0,1.0,0,0,0,0,0
4492,740,1,0,0,7,3.0,1,1,2,0,0
4493,710,1,1,0,0,1.0,0,0,0,0,0
4493,732,1,0,0,7,3.0,1,0,0,0,0
4494,160,1,0,1,16,4.0,1,1,2,0,1
4494,365,1,1,0,0,1.0,0,0,0,0,1
4495,100,2,2,0,0,1.0,0,0,0,0,1
4495,101,2,0,2,16,3.5,1,1,2,0,1
4496,135,1,1,0,0,1.0,0,0,0,0,1
4496,140,1,0,1,16,4.0,1,0,0,0,1
4497,41,1,1,0,0,1.0,0,0,0,0,0
4497,42,1,0,1,11,3.0,1,0,0,0,0
4498,100,1,1,0,0,1.0,0,0,0,0,0
4498,130,1,0,1,11,3.0,1,1,2,0,0
4499,100,1,0,1,11,3.0,1,1,2,0,0
4499,130,1,1,0,0,1.0,0,0,0,0,0
4500,100,1,1,0,0,1.0,0,0,0,0,1
4500,101,1,0,1,16,4.0,1,0,0,0,1
4501,100,1,0,1,16,4.0,1,0,0,0,1
4501,130,1,1,0,0,1.0,0,0,0,0,1
4502,100,2,1,1,12,2.0,1,1,2,0,0
4502,130,2,1,1,11,2.0,0,1,2,0,0
4503,100,2,1,1,12,2.0,0,1,2,0,0
4503,101,2,1,1,11,2.0,1,1,2,0,0
4504,100,1,1,0,0,1.0,0,0,0,0,0
4504,130,1,0,1,11,3.0,1,1,2,0,0
4505,100,1,0,1,12,3.0,1,1,2,0,0
4505,101,1,1,0,0,1.0,0,1,2,0,0
4506,2,2,1,0,7,2.0,1,0,0,0,0
4506,101,2,1,0,7,2.0,0,0,0,0,0
4507,100,2,1,0,7,2.0,1,1,2,0,0
4507,101,2,1,1,11,2.0,0,1,2,0,0
4508,93,1,0,1,14,4.0,1,1,1,2,1
4508,94,1,1,0,0,1.0,0,1,1,2,1
4509,666,1,1,0,0,1.0,0,0,0,0,0
4509,670,1,0,1,11,3.0,1,0,0,0,0
4510,630,1,0,1,11,3.0,1,0,0,0,0
4510,645,1,1,0,0,1.0,0,0,0,0,0
4511,652,1,0,1,17,4.0,0,0,0,0,1
4511,666,1,0,1,17,4.0,1,0,0,0,1
4512,2,1,0,1,16,4.0,1,0,0,0,1
4512,200,1,0,1,15,4.0,1,0,0,0,1
4512,630,1,1,0,0,1.0,0,0,0,0,1
4513,645,1,1,0,0,1.0,0,0,0,0,0
4513,666,1,0,0,8,3.0,1,0,0,0,0
4514,630,1,0,1,16,4.0,1,1,2,0,1
4514,645,1,1,0,0,1.0,0,0,0,0,1
4515,225,1,1,0,0,1.0,0,0,0,0,1
4515,666,1,0,1,16,4.0,1,1,2,0,1
4516,2,1,0,1,15,4.0,1,0,0,0,1
4516,640,1,1,0,0,1.0,0,0,0,0,1
4517,652,1,1,0,0,1.0,0,0,0,0,1
4517,666,1,0,0,7,3.0,1,1,2,0,1
4518,2,2,0,2,17,3.5,1,1,2,0,1
4518,652,2,1,1,17,2.5,0,0,0,0,1
4519,2,1,0,1,17,4.0,0,0,0,0,1
4519,630,1,0,1,17,4.0,1,0,0,0,1
4520,640,1,0,1,11,3.0,1,0,0,0,0
4520,652,1,1,0,0,1.0,0,0,0,0,0
4521,630,1,1,0,0,1.0,0,1,2,0,1
4521,696,1,0,1,16,4.0,1,1,2,0,1
4522,630,2,2,0,0,1.0,0,0,0,0,1
4522,694,2,0,2,16,4.0,1,1,2,0,1
4523,630,1,0,1,11,3.0,1,0,0,0,1
4523,645,1,1,0,0,1.0,0,0,0,0,1
4524,2,1,0,0,7,3.0,1,1,2,0,0
4524,630,1,1,0,0,1.0,0,0,0,0,0
4525,630,1,1,0,0,1.0,0,0,0,0,1
4525,640,1,0,0,7,3.0,1,1,2,0,1
4526,651,1,1,0,0,1.0,0,0,0,0,1
4526,666,1,0,1,16,4.0,1,0,0,0,1
4527,2,2,0,1,17,3.5,0,1,2,0,1
4527,645,2,0,2,17,4.0,0,1,2,0,1
4527,652,1,0,1,17,4.0,1,0,0,0,1
